,ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
58,25502,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43.0,Yes
59,15580,Married,Male,60000.0,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38.0,Yes
60,24185,Single,Female,10000.0,1,High School,Manual,No,1,1-2 Miles,Europe,45.0,No
61,19291,Single,Female,10000.0,2,High School,Manual,Yes,0,0-1 Miles,Europe,35.0,No
62,16713,Married,Male,40000.0,2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52.0,Yes
63,16185,Single,Male,60000.0,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41.0,No
64,14927,Married,Female,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
65,29337,Single,Male,30000.0,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68.0,No
66,29355,Married,Female,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
67,25303,Single,Male,30000.0,0,High School,Manual,Yes,1,2-5 Miles,Europe,33.0,Yes
68,14813,Single,Female,20000.0,4,High School,Manual,Yes,1,0-1 Miles,Europe,43.0,Yes
69,16438,Married,Female,10000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30.0,No
70,14238,Married,Male,120000.0,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36.0,Yes
71,16200,Single,Female,10000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35.0,No
72,24857,Married,Female,130000.0,3,High School,Professional,Yes,4,0-1 Miles,Europe,52.0,No
73,26956,Single,Female,20000.0,0,Partial College,Manual,No,1,2-5 Miles,Europe,36.0,Yes
74,14517,Married,Female,20000.0,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62.0,No
75,12678,Single,Female,130000.0,4,High School,Management,Yes,4,0-1 Miles,Pacific,31.0,No
76,16188,Single,Female,20000.0,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26.0,No
77,27969,Married,Male,80000.0,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29.0,Yes
78,15752,Married,Male,80000.0,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50.0,Yes
79,27745,Single,Male,40000.0,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63.0,Yes
80,20828,Married,Female,30000.0,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45.0,Yes
81,19461,Single,Female,10000.0,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40.0,No
82,26941,Married,Male,30000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47.0,Yes
83,28412,Single,Male,20000.0,0,High School,Manual,No,1,2-5 Miles,Europe,29.0,No
84,24485,Single,Male,40000.0,2,Bachelors,Management,No,1,5-10 Miles,Pacific,52.0,Yes
85,16514,Single,Male,10000.0,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26.0,Yes
86,17191,Single,Male,130000.0,3,Partial College,Professional,No,3,0-1 Miles,Europe,51.0,Yes
87,19608,Married,Male,80000.0,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40.0,No
88,24119,Single,Male,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29.0,No
89,25458,Married,Male,20000.0,1,High School,Manual,No,1,1-2 Miles,Europe,40.0,Yes
90,26886,Single,Female,30000.0,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29.0,Yes
91,28436,Single,Male,30000.0,0,Partial College,Clerical,No,1,0-1 Miles,Europe,30.0,Yes
92,19562,Single,Female,60000.0,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37.0,Yes
93,15608,Single,Female,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33.0,No
94,16487,Single,Female,30000.0,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55.0,No
95,17197,Single,Female,90000.0,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62.0,No
96,12507,Married,Male,30000.0,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43.0,No
97,23940,Married,Male,40000.0,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44.0,Yes
99,26852,Married,Female,20000.0,3,High School,Manual,Yes,2,0-1 Miles,Europe,43.0,No
100,12274,Single,Male,10000.0,2,High School,Manual,Yes,0,0-1 Miles,Europe,35.0,No
101,20236,Single,Male,60000.0,3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43.0,Yes
102,24149,Married,Male,10000.0,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49.0,No
103,26139,Single,Male,60000.0,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45.0,No
104,18491,Single,Female,70000.0,2,High School,Professional,Yes,2,5-10 Miles,Pacific,49.0,Yes
105,22707,Single,Female,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30.0,No
106,20430,Married,Male,70000.0,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52.0,Yes
107,27494,Single,Female,40000.0,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53.0,Yes
108,26829,Married,Female,40000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38.0,Yes
109,28395,Single,Male,40000.0,0,Bachelors,Professional,No,0,0-1 Miles,Europe,39.0,Yes
111,14682,Single,Female,70000.0,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38.0,No
112,17650,Single,Female,40000.0,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35.0,No
113,29191,Single,Female,130000.0,1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36.0,Yes
114,15030,Married,Male,20000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26.0,Yes
115,24140,Single,Male,10000.0,0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30.0,Yes
116,22496,Married,Female,30000.0,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42.0,No
118,19914,Married,Male,80000.0,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62.0,No
119,12871,Single,Female,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29.0,No
120,22988,Married,Female,40000.0,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66.0,Yes
121,15922,Married,Male,150000.0,2,High School,Professional,Yes,4,0-1 Miles,Europe,48.0,No
122,12344,Single,Female,80000.0,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31.0,No
123,23627,Single,Female,100000.0,3,Partial College,Management,No,4,5-10 Miles,Europe,56.0,No
124,27775,Single,Female,40000.0,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38.0,Yes
125,29301,Married,Male,80000.0,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40.0,No
126,12716,Single,Male,30000.0,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32.0,No
127,12472,Married,Male,30000.0,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39.0,No
128,20970,Single,Male,10000.0,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52.0,Yes
129,26818,Single,Male,10000.0,3,High School,Manual,Yes,1,0-1 Miles,Europe,39.0,Yes
130,12993,Married,Male,60000.0,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37.0,No
131,14192,Married,Male,90000.0,4,High School,Management,Yes,3,5-10 Miles,Europe,56.0,Yes
132,19477,Married,Male,40000.0,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40.0,Yes
133,26796,Single,Male,40000.0,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65.0,Yes
134,21094,Single,Female,30000.0,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42.0,No
135,12234,Married,Male,10000.0,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52.0,No
136,28683,Single,Female,10000.0,1,High School,Manual,No,1,5-10 Miles,Europe,35.0,Yes
137,17994,Single,Male,20000.0,2,High School,Manual,Yes,2,0-1 Miles,Europe,42.0,No
138,24273,Married,Female,20000.0,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55.0,Yes
139,26547,Single,Female,30000.0,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60.0,Yes
140,22500,Single,Male,40000.0,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40.0,Yes
141,23993,Single,Female,10000.0,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26.0,Yes
142,14832,Married,Male,40000.0,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42.0,Yes
143,16614,Married,Female,80000.0,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32.0,No
144,20877,Single,Male,30000.0,1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37.0,Yes
145,20729,Married,Female,40000.0,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34.0,No
146,22464,Married,Male,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
147,19475,Married,Female,40000.0,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40.0,Yes
148,19675,Married,Male,20000.0,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60.0,No
149,12728,Single,Male,30000.0,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27.0,No
151,29117,Single,Male,100000.0,1,Bachelors,Management,No,3,0-1 Miles,Pacific,48.0,No
152,17845,Single,Female,20000.0,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32.0,No
153,25058,Married,Male,100000.0,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47.0,No
155,14798,Single,Female,10000.0,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41.0,Yes
156,12664,Married,Female,130000.0,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59.0,No
157,23979,Single,Male,10000.0,2,Partial College,Manual,No,0,0-1 Miles,Europe,50.0,No
158,25605,Single,Female,20000.0,2,Partial College,Manual,No,1,0-1 Miles,Europe,54.0,Yes
159,20797,Married,Female,10000.0,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48.0,No
160,21980,Single,Female,60000.0,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44.0,Yes
161,25460,Married,Female,20000.0,2,High School,Manual,Yes,0,0-1 Miles,Europe,40.0,Yes
162,29181,Single,Female,60000.0,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38.0,Yes
163,24279,Single,Male,40000.0,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52.0,No
164,22402,Married,Male,10000.0,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25.0,Yes
165,15465,Married,Female,10000.0,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25.0,No
166,26757,Single,Male,90000.0,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47.0,Yes
167,14233,Single,Male,100000.0,0,High School,Management,Yes,3,10+ Miles,Pacific,35.0,No
168,14058,Single,Male,70000.0,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41.0,Yes
169,12273,Married,Male,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47.0,No
170,17203,Married,Female,130000.0,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61.0,Yes
171,18144,Married,Female,80000.0,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61.0,No
172,23963,Married,Male,10000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33.0,No
173,17907,Married,Female,10000.0,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27.0,No
174,19442,Single,Male,50000.0,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37.0,Yes
175,17504,Single,Female,80000.0,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52.0,Yes
176,12253,Single,Female,20000.0,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29.0,Yes
177,27304,Single,Female,110000.0,2,Partial College,Professional,No,3,5-10 Miles,Europe,48.0,No
178,14191,Married,Male,160000.0,4,Partial College,Professional,No,2,10+ Miles,Europe,55.0,Yes
179,12212,Married,Female,10000.0,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37.0,Yes
180,25529,Single,Male,10000.0,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44.0,No
181,22170,Married,Female,30000.0,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55.0,Yes
182,19445,Married,Female,10000.0,2,High School,Manual,No,1,0-1 Miles,Europe,38.0,No
183,15265,Single,Male,40000.0,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66.0,Yes
184,28918,Married,Female,130000.0,4,High School,Management,No,4,10+ Miles,Europe,58.0,No
185,15799,Married,Female,90000.0,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47.0,Yes
186,11047,Married,Female,30000.0,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56.0,Yes
187,18151,Single,Male,80000.0,5,Partial College,Professional,No,2,10+ Miles,Europe,59.0,No
188,20606,Married,Female,70000.0,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32.0,Yes
189,19482,Married,Male,30000.0,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44.0,Yes
190,16489,Married,Male,30000.0,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55.0,No
192,15682,Single,Female,80000.0,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62.0,No
193,26032,Married,Female,70000.0,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41.0,No
194,17843,Single,Female,10000.0,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32.0,No
195,25559,Single,Male,20000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25.0,Yes
197,11147,Married,Male,60000.0,2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67.0,Yes
198,15214,Single,Female,100000.0,0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39.0,Yes
199,11453,Single,Male,80000.0,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33.0,Yes
200,24584,Single,Male,60000.0,0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31.0,No
201,12585,Married,Male,10000.0,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27.0,Yes
203,29298,Single,Female,60000.0,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46.0,Yes
204,24842,Single,Female,90000.0,3,High School,Professional,No,1,2-5 Miles,Europe,51.0,No
205,15657,Married,Male,30000.0,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46.0,Yes
206,11415,Single,Male,90000.0,5,Partial College,Professional,No,2,10+ Miles,Europe,62.0,No
207,28729,Single,Female,20000.0,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26.0,Yes
208,22633,Single,Female,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
209,25649,Single,Female,30000.0,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42.0,Yes
210,14669,Married,Female,80000.0,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36.0,No
211,19299,Married,Female,50000.0,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36.0,Yes
212,20946,Single,Female,30000.0,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30.0,No
213,11451,Single,Male,70000.0,0,Bachelors,Professional,No,4,10+ Miles,Pacific,31.0,Yes
214,25553,Married,Male,30000.0,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65.0,Yes
215,27951,Single,Male,80000.0,4,Partial College,Professional,No,2,2-5 Miles,Europe,54.0,Yes
216,25026,Married,Male,20000.0,2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54.0,No
218,16043,Single,Male,10000.0,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48.0,No
219,22399,Single,Male,10000.0,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26.0,Yes
220,27696,Married,Male,60000.0,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43.0,Yes
221,25313,Single,Male,10000.0,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35.0,No
222,13813,Married,Female,30000.0,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42.0,No
223,18711,Single,Female,70000.0,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39.0,No
224,19650,Married,Female,30000.0,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67.0,No
226,12833,Single,Female,20000.0,3,High School,Manual,Yes,1,0-1 Miles,Europe,42.0,Yes
227,26849,Married,Male,10000.0,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43.0,No
228,20962,Married,Female,20000.0,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45.0,No
229,28915,Single,Male,80000.0,5,High School,Management,Yes,3,10+ Miles,Europe,57.0,No
230,22830,Married,Male,120000.0,4,Partial College,Management,Yes,3,10+ Miles,Europe,56.0,No
231,14777,Married,Female,40000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38.0,Yes
232,12591,Married,Female,30000.0,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45.0,No
233,24174,Married,Male,20000.0,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27.0,Yes
235,11340,Married,Female,10000.0,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70.0,Yes
236,25693,Single,Female,30000.0,5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44.0,Yes
237,25555,Married,Female,10000.0,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26.0,Yes
238,22006,Married,Male,70000.0,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46.0,No
239,20060,Single,Female,30000.0,0,High School,Manual,No,1,2-5 Miles,Europe,34.0,Yes
240,17702,Married,Male,10000.0,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37.0,No
241,12503,Single,Female,30000.0,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27.0,No
242,23908,Single,Male,30000.0,1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39.0,Yes
243,22527,Single,Female,20000.0,0,High School,Manual,No,1,2-5 Miles,Europe,29.0,No
244,19057,Married,Female,120000.0,3,Bachelors,Management,No,2,10+ Miles,Europe,52.0,Yes
245,18494,Married,Male,110000.0,5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48.0,Yes
246,11249,Married,Female,130000.0,3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51.0,Yes
247,21568,Married,Female,100000.0,0,High School,Management,Yes,4,10+ Miles,Pacific,34.0,Yes
248,13981,Married,Female,10000.0,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62.0,No
249,23432,Single,Male,70000.0,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37.0,Yes
250,22931,Married,Male,100000.0,5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78.0,Yes
251,18172,Married,Male,130000.0,4,High School,Professional,Yes,3,0-1 Miles,Europe,55.0,No
252,12666,Single,Male,60000.0,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31.0,No
253,20598,Married,Male,100000.0,3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59.0,Yes
254,21375,Single,Male,20000.0,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57.0,No
255,20839,Single,Female,30000.0,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47.0,Yes
256,21738,Married,Male,20000.0,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43.0,No
257,14164,Single,Female,50000.0,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36.0,Yes
258,14193,Single,Female,100000.0,3,Partial College,Management,Yes,4,10+ Miles,Europe,56.0,No
259,12705,Married,Male,150000.0,0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37.0,Yes
260,22672,Single,Female,30000.0,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43.0,No
261,26219,Married,Female,40000.0,1,Bachelors,Skilled Manual,Yes,1,1-2 Miles,Europe,33.0,Yes
262,28468,Married,Female,10000.0,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51.0,No
263,23419,Single,Female,70000.0,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39.0,No
264,17964,Married,Male,40000.0,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37.0,Yes
265,20919,Single,Female,30000.0,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42.0,No
266,20927,Single,Female,20000.0,5,High School,Manual,Yes,2,0-1 Miles,Europe,27.0,No
267,13133,Single,Male,100000.0,5,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47.0,Yes
268,19626,Married,Male,70000.0,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,45.0,No
269,21039,Single,Female,50000.0,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,37.0,Yes
270,12231,Single,Female,10000.0,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,51.0,Yes
271,25665,Single,Female,20000.0,0,High School,Manual,No,1,1-2 Miles,Europe,28.0,No
272,24061,Married,Male,10000.0,4,Partial High School,Manual,Yes,1,0-1 Miles,Europe,40.0,Yes
273,26879,Single,Female,20000.0,0,High School,Manual,No,1,2-5 Miles,Europe,30.0,No
274,12284,Married,Female,30000.0,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36.0,Yes
275,26654,Married,Female,90000.0,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37.0,Yes
276,14545,Married,Female,10000.0,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49.0,No
277,24201,Married,Female,10000.0,2,High School,Manual,Yes,0,0-1 Miles,Europe,37.0,Yes
278,20625,Married,Male,100000.0,0,High School,Management,Yes,3,10+ Miles,Pacific,35.0,Yes
279,16390,Single,Male,30000.0,1,Bachelors,Clerical,No,0,0-1 Miles,Europe,38.0,Yes
280,14804,Single,Female,10000.0,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43.0,No
281,12629,Single,Male,20000.0,1,Partial College,Manual,No,0,0-1 Miles,Europe,37.0,No
